,comm_date,author,author_id,likes,comment,video_id
0,2024-06-29T17:31:50Z,@ragaputra9893,UCFpef1FuROB45PyyFXHduxQ,0,mantap,k4oDIDYFgTk
1,2024-06-29T16:53:33Z,@user-co3hg5yl9j,UCyvE-7LLhUU6H4OHjoEPQ5A,0,😂😂😂,k4oDIDYFgTk
2,2024-06-29T16:17:11Z,@aliusman3964,UCgOCIyE2_7oJSWTM_MNAadg,0,"Kalau bukan mas panji yg jadi narasumbernya, gw gak bakal nonton ni konten.",k4oDIDYFgTk
3,2024-06-29T16:00:09Z,@Qori1998,UCgnWdfwxYkButFLK4lFTaJw,0,"Kesimpulan yg saya dpt, kalian berdua tidak melihat dari sisi rakyat. Kalau kalian nanya kenapa pandji semarah itu? Pertanyaan yg sama utk kalian, kenapa kalian gak marah?",k4oDIDYFgTk
4,2024-06-29T15:42:23Z,@BaliMakmur,UCl18N7EOHsXy_iHasaCPBnA,0,"betul2... bagus2 ni commentnya, udah mulai terang benerang ya...
ayo donk host, pilihan pribadi ya pribadi, salah ya salah bener ya bener, kalo temen sy melakukan kesalahan saya membiarkan bahkan membela tanpa tau alasannya dibalik itu nya mungkin, alih2 saya menegur secara baik dan menyadarkan, teman macam apa saya ini.. membiarkan dia jatuh ke jurang kebodohan karena kesalahan dimana ada kesempatan yang saya bisa kasih tau dia.. temen baik itu ngasih tau pas temen salah, dan mengajak bangkit lagi sama2. GItu aja loh.
human rights kah konon,... Tolonglah Arie.. masa Anda kaya DPR sih alesannya, ngeles receh itu udah kebca sama netizen..
Dengan Anda mengakui hal itu salah untuk dimana ranah total politik adalah tempat pembelajaran public bukan jadi merendahkan harga diri anda kok, dan juga Jokowi kok, tetap banyak kebaikan2 Jokowi yang sampai pada rakyat.

Ayo sadar donk Mas Arie dan Budi.. kaya orang baru ke Jakarta aja, kagetan gitu loh. Ato kalo anda kurang mampu kali2 anda diganti host nya sama yg lebih bisa objective, toh rating naik dan anda tetep dapet duit kan, yg penting rakyat yg kurang pintar ga jadi tambah bodoh karena Anda ""ga sadar"" kelepasan akibat ego pro pilihan, ""human right? is fu**up saying from ur mouth.

Coba liat deh di Papua , Banten , jawa BArat, Bengkulu, jawa timur, dll... itu turun temurun korupsinya dari pileg2,.. memang bener gitu semua itu.
Tapi dengan Presiden nyontohin kaya gitu, juga memberikan alesan para setan koruptor untuk catut alesan itu nanti, itu yg bahaya. terlepas strategi atau akibat hal itu Prabowo jadi menang, baiknya dipisahkan.

Pe Er presiden nanti nya musti benerin ini semua... semoga lah bisa, makanya anda bantu rakyat mas arie dan budi, untuk tetap jernih, jangan andanya ga jernih duluan, tutup aja total pilitik kalo gini. cuma mau ngingetin di akhirat nanti anda dipertanggung jawabkan loh, yg nonton berapa juta orang... NGERI

Cobalah Total Politik itu membawa bahwa ada harapan untuk kita semua, bahwa politik yg baik sesuai nilai2 budi pekerti bangsa ini, kalo sama kaya dulu politik ya gitu, elite2.. untuk apa??

notes: 
Ga Sadar = Lalai = awal kebodohan = dibenci Tuhan = kebalikan dari manfaat solat atau ritual agama apa pun.

Sing Saradar ya...... InsyaAllah... Amin",k4oDIDYFgTk
5,2024-06-29T15:24:23Z,@dakelorcookies,UClRLlPDS_E2wsmsinXD2c6Q,0,menit 39:05 bilang aja klo luhh emg butuh dan harus bermuka dua dan ngejilat tai😂,k4oDIDYFgTk
6,2024-06-29T15:07:34Z,@dakelorcookies,UClRLlPDS_E2wsmsinXD2c6Q,1,memperlihatkan kebodohan di depan publik dengan terang terangan itu emg suatu prestasi loh salut gua sama dua host nya 😂,k4oDIDYFgTk
7,2024-06-29T15:06:24Z,@dakelorcookies,UClRLlPDS_E2wsmsinXD2c6Q,0,omongan tu dua orang kayak omongan anak smp yg masih banyak ngelantur,k4oDIDYFgTk
8,2024-06-29T14:52:29Z,@ryanramdhani9081,UC2PCRTbwBKhs07KlQGS_cSg,0,😂 lucu 2 orang ini.sudah jelas arah dan tujuan mereka 😂,k4oDIDYFgTk
9,2024-06-29T14:24:24Z,@BTS-oi8bz,UCWGl0lKJOB3NaGzas81_rgg,0,Hosnya ngeselin,k4oDIDYFgTk
10,2024-06-29T13:57:08Z,@olahrosomimbar3765,UCRiUUBcK12pFFsATwmEAqKQ,0,dinasti politik bkn lah human right justru dinas politik yg merenggut human right bagi org2 yg jauh dr kkuasaan.,k4oDIDYFgTk
11,2024-06-29T13:38:01Z,@noname-pr1zi,UCojxwh4tx20SQB7CKB4Mu3A,0,Bru clip pembukaan aja udah keliatan hostnya cuma boneka untuk menyaingi media ato podcast yg memang masih dgn idealismenya sbg media.,k4oDIDYFgTk
12,2024-06-29T13:24:45Z,@dewirosalina9774,UC7AFIkn6aZVZsxaWXsKSjuw,0,I'm with pandji,k4oDIDYFgTk
13,2024-06-29T12:43:08Z,@nezbabtista2817,UCuWqy5KxsMvRKmH6PVw9egw,0,Emang mereka berdua siapa ya 😂,k4oDIDYFgTk
14,2024-06-29T11:34:57Z,@syifashafira,UC_A1o1L9aVR21Q0jX6LzsTg,0,"Aduh gue tolol tapi masih tau mana yang salah mana yang bener, bukan yang salah dijadikan pembenaran",k4oDIDYFgTk
15,2024-06-29T10:34:06Z,@dewirosalina9774,UC7AFIkn6aZVZsxaWXsKSjuw,1,"Setuju banget sama pandji,terimakasih telah mencerahkan masyarakat indonesia",k4oDIDYFgTk
16,2024-06-29T10:14:45Z,@hannyk5774,UCJOv1q0Cg-6mTrYLWg2D-Gw,0,Host...ERROR,k4oDIDYFgTk
